file,text_en,source,license,detail
help.svg,help,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/49199/13_49200_9c829aa0-b3e6-4532-a191-dc47cfe67dd2.svg
hot.svg,hot,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4799/13_4799_16ff02c4-642d-4d88-b83d-e5753a73dd2f.svg
cold.png,cold,additional-mulberry-symbols,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/80882/205_80883_7939f1b1-4361-48b4-91b5-7e70d5c89fe0.png
open.svg,open,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5204/13_5204_b25e5278-0073-42ec-9340-cef810e5f105.svg
bread.svg,bread,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3363/13_3363_d30d765d-7518-4fe3-83d8-3eb439052066.svg
rice.svg,rice,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5509/13_5509_29e6d1a4-8d22-4127-9ccb-aada6a57d7cb.svg
milk.svg,milk,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5050/13_5050_5091a757-fc05-4bdb-89e8-68e75bde5868.svg
egg.svg,egg,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4120/13_4120_1f1be380-fb70-496f-9958-e5c1015cc6ba.svg
fish.svg,fish,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4242/13_4242_f87cd17a-5cd5-492a-b99b-613596a22265.svg
chicken.svg,chicken,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3574/13_3574_7b76b530-ec40-4b47-ad49-e41bbc0396eb.svg
tea.svg,tea,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5908/13_5908_86fe156f-7090-4208-8ef7-4870f87bdbec.svg
salt.svg,salt,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5558/13_5558_8833d4b2-531a-43cc-93fc-7471d316d974.svg
fruit.svg,fruit,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4608/13_4608_d7ea6dc2-38d9-4df9-afdd-e22f4ddb610a.svg
head.svg,head,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4743/13_4743_99c99804-baa8-43a1-9afc-8663e0484a14.svg
eye.svg,eye,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4166/13_4166_909afd85-5a1f-47f7-8166-ec62f424032d.svg
ear.svg,ear,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4106/13_4106_f1656b0e-edce-4f8c-a72a-25c235b3f813.svg
nose.png,nose,additional-mulberry-symbols,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/80912/205_80913_48d3e815-5aa6-4bc8-a58b-5e6d2a64e2c4.png
mouth.svg,mouth,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5101/13_5101_ce723719-e9ea-410d-93c7-1fe0d8c00ce4.svg
tooth.svg,tooth,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5995/13_5995_1b072de6-9650-4635-8e8c-687797b7a8e3.svg
hand.png,hand,additional-mulberry-symbols,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/80894/205_80895_2656fcc7-826d-4df9-b76e-476b0e7cce1c.png
arm.svg,arm,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3168/13_3168_debf068a-58de-42b8-a6a8-9bcf302464f3.svg
leg.svg,leg,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4930/13_4930_92be1782-26e1-499a-aaa1-7e6923d4ea50.svg
foot.svg,foot,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4536/13_4536_d8a7be9d-6bd2-45c2-a383-9cf308b3d09c.svg
stomach.svg,stomach,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5818/13_5818_67ea6418-ff9c-4677-8c69-f361e870e28d.svg
hair.png,hair,additional-mulberry-symbols,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/80895/205_80896_1d0c18ad-85d7-4f33-8882-0d43df079744.png
son.svg,son,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5734/13_5734_f618913b-13aa-4235-b9ac-b9b52a43a067.svg
daughter.svg,daughter,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3981/13_3981_cdee9447-0250-4f2a-871b-5758dc396cdc.svg
baby.svg,baby,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3195/13_3195_8204c00b-e8c1-4daa-b30f-d97be39227b7.svg
wife.svg,wife,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/6178/13_6178_b38b4731-a4a6-4358-bc94-d2cf692b755f.svg
husband.svg,husband,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4811/13_4811_88c56784-18e0-44bd-b092-9a53065318b0.svg
door.svg,door,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4054/13_4054_a9cb1411-82b1-42d4-88d1-b37f5fb68af2.svg
window.svg,window,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/6183/13_6183_49104019-b058-4b8b-9f10-4f7419ecc5d1.svg
chair.svg,chair,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3541/13_3541_1e47e287-3c29-4c08-97d1-2fbba7d079b9.svg
table.svg,table,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5876/13_5876_1559d947-5e79-40dd-825d-caeb02d30d16.svg
key.svg,key,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/99960/13_100420_a200a38f-e94b-472f-a8c9-c4c3ae2ef066.svg
light.svg,light,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4947/13_4947_8bf962d2-d34f-4f1f-93d9-3e5761ad345f.svg
soap.svg,soap,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5725/13_5725_61d999c4-294e-4e90-a593-0dc78ef32529.svg
towel.svg,towel,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/6010/13_6010_6725c537-998e-4f0d-a2a4-fa9f1ac1b140.svg
blanket.svg,blanket,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3311/13_3311_f71e111d-aee5-4a53-b6f2-9dd84839ffae.svg
clock.svg,clock,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3643/13_3643_c37a41ac-a605-416f-ad8e-4481a3e9be55.svg
toilet.svg,toilet,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5983/13_5983_204b2fc2-d09f-4287-a971-d819f8dd659c.svg
shirt.svg,shirt,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5658/13_5658_ca228130-69d9-4e13-9431-b824e1cb3665.svg
shoes.png,shoes,additional-mulberry-symbols,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/81111/205_81112_1dc21c8e-66c8-40cc-b641-fd49c1aaccee.png
socks.svg,socks,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5726/13_5726_061afa63-6a8c-4868-895e-5c5ae3f303fb.svg
coat.svg,coat,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3661/13_3661_68535c0e-f04d-4629-8a6f-f26eb3c822b6.svg
dress.svg,dress,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4067/13_4067_c4f40ff5-4704-4288-be13-cfcd508f437a.svg
scarf.svg,scarf,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5595/13_5595_7fab9039-d946-4e87-9a67-1bce13e1ab07.svg
glasses.svg,glasses,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4637/13_4637_f2c979ee-c3eb-433f-927e-7832e78eff20.svg
school.svg,school,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5597/13_5597_f0d652bb-7399-4c29-ad56-7c42ae0cc9f2.svg
bank.svg,bank,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3227/13_3227_c985a9bc-654a-4f50-93b7-cc1a6c213bef.svg
bus.svg,bus,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/3426/13_3426_bf2a3b9e-4973-466b-9c31-46e35e0b1d17.svg
train.svg,train,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/6019/13_6019_57176b82-5970-468b-88b8-1fbc2fd5c98f.svg
house.svg,house,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4805/13_4805_be289218-4c3d-41d9-8650-434dae45e7d5.svg
one.svg,one,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5197/13_5197_e031bdbc-e442-4a24-86d5-2182fab43ec5.svg
two.svg,two,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/6056/13_6056_992995e4-9809-4512-954b-a46b52fc97a2.svg
three.svg,three,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5946/13_5946_849cd8d3-93c6-4f8d-9987-1e6b22a68568.svg
four.svg,four,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4590/13_4590_eeb29231-7c84-4975-b846-18375c561a1b.svg
five.svg,five,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4253/13_4253_06bd5d94-aa88-435a-954d-1412957938e6.svg
six.svg,six,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5695/13_5695_b92103bf-7a2f-4290-86fc-1c98cd478278.svg
seven.svg,seven,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5635/13_5635_49aa722f-8756-4f48-95a7-40ee4fd21fac.svg
eight.svg,eight,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4129/13_4129_8ca7d9d0-b886-4494-9c71-cc7c19014393.svg
nine.svg,nine,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5152/13_5152_be58d2ab-74f9-4fd0-b436-257321df16a1.svg
ten.svg,ten,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5926/13_5926_8e9226b4-6aa2-4cdb-85c9-b2264d83f200.svg
eleven.svg,eleven,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4138/13_4138_ad1eea7e-ad1e-4cca-9f7c-c70e5bf9e00f.svg
twelve.svg,twelve,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/6053/13_6053_dca5af62-77a2-4135-8185-071e7db74938.svg
thirteen.svg,thirteen,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5941/13_5941_ab39d71f-f2b4-44cf-89b7-bbe007f95d3c.svg
fourteen.svg,fourteen,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4592/13_4592_4e324e73-3f4c-42fe-bf83-03b0a87baab4.svg
fifteen.svg,fifteen,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/4214/13_4214_49bfbcdc-c218-4fa4-aa68-115e31ac6ed8.svg
sixteen.svg,sixteen,mulberry,CC BY-SA 4.0,https://globalsymbols.com/uploads/production/image/imagefile/5697/13_5697_88f2a945-1193-4b79-bf5d-0541bdc54089.svg
